"artist","artist_id"
"Lou Donaldson",332
"Bernie Privin And His Orchestra",333
"Jimmy Smith",334
"Billie Holiday",335
"Nassau Jazz Band",336
"Woody Herman",337
"Jazz At The Philharmonic",338
"Ferko String Band*",339
"Johnny Griffin",340
"Richard Wagner",341
"Rhineland Symphony Orchestra Conductor Alfred Federer",342
"Johnny Janis",343
"Gabor Radics And His Family*",344
"Art Pepper",345
"Oscar Peterson",346
"Beethoven* − Friedrich Wührer",347
"Woods*",348
"Byrd*",349
"Nappy Brown",350
"Dvorak*",351
"Smetana*",352
"Trio Di Bolzano",353
"The Red Garland Trio",354
"Paul Chambers (3) And Art Taylor",355
"Phil Woods Quartet*",356
"Johnny Green And His Orchestra",357
"Buddy Clark (3)",358
"Bob Banks*",359
"Ludwig van Beethoven",360
"Clemens Krauss",361
"Babs Gonzales Sings",362
"The Jimmy Smith Trio*",363
"Phineas Newborn Jr.",364
"Ray Marco",365
"Liszt*",366
"Enesco* – Sinfonietta De Vienne*",367
"Ernst Graf",368
"Charlie Mariano",369
"Count Basie",370
"Cal Tjader",371
"Don Elliott",372
"Bennie Green",373
"Joe Williams",374
"Schumann*",375
"Schubert*",376
"Gaspar Cassado*",377
"Bamberg Symphony*",378
"Jonel Perlea",379
"The Jive Bombers",380
"The Incredible Jimmy Smith*",381
"Claire Coci",382
"Henry Coker",383
"Bill Hughes (2)",384
"Jimmy Cleveland",385
"Benny Powell",386
"The Art Farmer Septet",387
"Hal Stein",388
"Warren Fitzgerald (2)",389
"The Quartet*",390
"Lester Young",391
"Marlene*",392
"Slam Stewart",393
"Randy Weston Trio Plus Cecil Payne",394
"Cy Walter",395
"George Wallington Quintet",396
"Mort Herbert",397
"Earl Coleman",398
"Tadd Dameron",399
"Hamp Hawes*",400
"James Moody And His Band",401
"Modern Jazz Quartet*",402
"Sol Yaged",403
"José Valdes Y Los Embajadores",404
"Little Jimmy Scott*",405
"Sam Gary",406
"Emil Gilels",407
"Moscow Philharmonic Orchestra",408
"Teddy Charles",409
"Shorty Rogers",410
"Shelley Manne*",411
"Jimmy Giuffre",412
"Lee Morgan",413
"Hank Mobley's Quintet*",414
"Zoot Sims",415
"Kenny Dorham And Max Roach",416
"Terry Morel",417
"Barbara Lea",418
"Art Farmer Quintet",419
"Gigi Gryce",420
"Hank Mobley",421
"Doug Watkins",422
"John La Porta*",423
"Ronnie Ball",424
"Wendell Marshall",425
"Kai* And Jay*",426
"Strings*",427
"The Randy Weston Trio*",428
"Gil Melle Quartet*",429
"Charlie Mingus*",430
"Teo Macero",431
"Gene Krupa",432
"Gene Krupa And His Orchestra",433
"The George Wallington Trio*",434
"Frank Foster",435
"Joe Roland",436
"Joe Wilder",437
"Farmer*",438
"Jackie McLean Quintet Introducing Bill Hardman",439
"Herbie Nichols Trio",440
"The Trio (9)",441
"Wendell Marshall And Kenny Clarke",442
"Haydn*",443
"Helma Elsner",444
"Reinhold Barchet",445
"Pro Musica Chamber Orchestra",446
"Stuttgart*",447
"Rolf Reinhardt",448
"Moondog (2)",449
"Gil Melle*",450
"The Gigi Gryce Orchestra",451
"The Gigi Gryce Quartet",452
"Sonny Rollins Quartet",453
"Art Blakey Quintet",454
"Freddie Green",455
"Phil Woods Septet",456
"Milt Buckner",457
"Bobby Banks*",458
"Vin Strong",459
"Jutta Hipp",460
"Debussy*",461
"Joseph Haydn",462
"Pro Musica Chamber Orchestra Stuttgart*",463
"Elmo Hope Sextet",464
"Bobby Banks Trio",465
"Ben Pollack And His Pick-A-Rib Boys",466
"The Paul Smith Trio And Quartet*",467
"Rouse-Watkins Jazz Modes*",468
"Gene Quill-Dick Sherman Quintet",469
"Art Blakey And Kenny Drew",470
"Doug Duke",471
"Oscar Pettiford",472
"Ketter Betts*",473
"Rudy Williams",474
"Charlie Rice",475
"George Wallington",476
"Gabor Radics Family Orchestra*",477
"The Jackie McLean Quintet*",478
"Donald Byrd And Elmo Hope",479
"Billy Butterfield And The Essex Five",480
"MJQ*",481
"Mundell Lowe",482
"Teddy Charles And Jimmy Raney",483
"Miles Davis And Milt Jackson",484
"Al Cohn",485
"Allen Eager",486
"Brew Moore",487
"Al Caiola And His Magic Guitar*",488
"Al Caiola",489
"Carmen Barros",490
"The Jazz Messengers*",491
"Red Garland Trio*",492
"Phil Woods",493
"Billy Eckstine",494
"Curtis Fuller",495
"Olivier Messiaen",496
"Yvonne Loriod",497
"Mechislav Karlovich*",498
"Alexei Machavariani*",499
"Roland Rock And His Orchestra",500
"Kenny Burrell Quintet*",501
"Illinois Jacquet",502
"The Cadet Glee Club West Point*",503
"Art Tatum",504
"Red Rodney",505
"Hank Mobley Quintet*",506
"Sonny Clark",507
"Lou Donaldson Quintet",508
"Hank Mobley Sextet",509
"Lazar Sarian*",510
"Alexander Spendiarov*",511
"Armenian Philharmonic Symphony*",512
"Chausson*",513
"Foerster*",514
"Igor Bezrodny",515
"Leclair*",516
"Camillo Wanausek",517
"Pro Music Chamber Orchestra",518
"Paul Angerer",519
"Alexander Borovsky",520
"Teddy Wilson",521
"The Miles Davis Quintet",522
"The Ravens (2) Starring Ricky*",523
"The Basie Band*",524
"Idrees Sulieman",525
"Webster Young",526
"Bobby Jaspar",527
"Mal Waldron",528
"Art Taylor",529
"Marcel Couraud",530
"Georges Bizet",531
"Marcel Couraud Conducting Bamberger Symphoniker",532
