"source","target","year","title","type"
"Dollar Brand", "Rudy Van Gelder","1988", "Mindif","master"
"Hank Jones", "Elvin Jones and George Mraz","1993", "Upon Reflection - The Music Of Thad Jones","master"
"Hank Jones", "Rudy Van Gelder","1993", "Upon Reflection - The Music Of Thad Jones","master"
"Elvin Jones and George Mraz", "Rudy Van Gelder","1993", "Upon Reflection - The Music Of Thad Jones","master"
"Gerry Mulligan", "Chet Baker","1995", "Carnegie Hall Concert","master"
"Gerry Mulligan", "Rudy Van Gelder","1995", "Carnegie Hall Concert","master"
"Chet Baker", "Rudy Van Gelder","1995", "Carnegie Hall Concert","master"
"Harris*", "Moran*","1999", "New Directions","master"
"Harris*", "Osby*","1999", "New Directions","master"
"Harris*", "Shim*","1999", "New Directions","master"
"Moran*", "Osby*","1999", "New Directions","master"
"Moran*", "Shim*","1999", "New Directions","master"
"Osby*", "Shim*","1999", "New Directions","master"
"Harris*", "Rudy Van Gelder","1999", "New Directions","master"
"Moran*", "Rudy Van Gelder","1999", "New Directions","master"
"Osby*", "Rudy Van Gelder","1999", "New Directions","master"
"Shim*", "Rudy Van Gelder","1999", "New Directions","master"
"Plas Johnson", "Red Holloway","2001", "Keep That Groove Going!","master"
"Plas Johnson", "Rudy Van Gelder","2001", "Keep That Groove Going!","master"
"Red Holloway", "Rudy Van Gelder","2001", "Keep That Groove Going!","master"
"Houston Person", "Ron Carter","2002", "Dialogues","release"
"Houston Person", "Rudy Van Gelder","2002", "Dialogues","release"
"Ron Carter", "Rudy Van Gelder","2002", "Dialogues","release"
"Houston Person", "Bill Charlap","2006", "You Taught My Heart To Sing","release"
"Houston Person", "Rudy Van Gelder","2006", "You Taught My Heart To Sing","release"
"Bill Charlap", "Rudy Van Gelder","2006", "You Taught My Heart To Sing","release"
"Freddy Cole", "The Bill Charlap Trio","2007", "Music Maestro Please","release"
"Freddy Cole", "Rudy Van Gelder","2007", "Music Maestro Please","release"
"The Bill Charlap Trio", "Rudy Van Gelder","2007", "Music Maestro Please","release"
"Houston Person", "Ron Carter","2008", "Just Between Friends","release"
"Houston Person", "Rudy Van Gelder","2008", "Just Between Friends","release"
"Ron Carter", "Rudy Van Gelder","2008", "Just Between Friends","release"
"Scott Hamilton", "Friends","2008", "Across The Tracks","master"
"Scott Hamilton", "Rudy Van Gelder","2008", "Across The Tracks","master"
"Friends", "Rudy Van Gelder","2008", "Across The Tracks","master"
"Houston Person", "Ron Carter","2016", "Chemistry","master"
"Houston Person", "Rudy Van Gelder","2016", "Chemistry","master"
"Ron Carter", "Rudy Van Gelder","2016", "Chemistry","master"
"Freddie Hubbard", "Stanley Turrentine","2018", "In Concert Volume One & Two","master"
"Freddie Hubbard", "Rudy Van Gelder","2018", "In Concert Volume One & Two","master"
"Stanley Turrentine", "Rudy Van Gelder","2018", "In Concert Volume One & Two","master"
"Seatbelts*", "Yoko Kanno","2024", "Songs For The Cosmic Sofa Cowboy Bebop","master"
"Seatbelts*", "Rudy Van Gelder","2024", "Songs For The Cosmic Sofa Cowboy Bebop","master"
"Yoko Kanno", "Rudy Van Gelder","2024", "Songs For The Cosmic Sofa Cowboy Bebop","master"
"Edwin Franko Goldman", "The Goldman Band","1947", "Marches","master"
"Edwin Franko Goldman", "Rudy Van Gelder","1947", "Marches","master"
"The Goldman Band", "Rudy Van Gelder","1947", "Marches","master"
"Fritz Lehmann", "Bach*","1949", "St. Matthew Passion (Unabridged)","master"
