"source","target","year","title","type"
"Patricia Neway", "Robert Massard","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Patricia Neway", "Pierre Mollet","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Patricia Neway", "The Paris Conservatory Orchestra* Conducted By Carlo Maria Giulini","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Leopold Simoneau", "Robert Massard","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Leopold Simoneau", "Pierre Mollet","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Leopold Simoneau", "The Paris Conservatory Orchestra* Conducted By Carlo Maria Giulini","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Robert Massard", "Pierre Mollet","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Robert Massard", "The Paris Conservatory Orchestra* Conducted By Carlo Maria Giulini","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Pierre Mollet", "The Paris Conservatory Orchestra* Conducted By Carlo Maria Giulini","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Gluck*", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Patricia Neway", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Leopold Simoneau", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Robert Massard", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Pierre Mollet", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"The Paris Conservatory Orchestra* Conducted By Carlo Maria Giulini", "Rudy Van Gelder","1962", "Iphigenie En Tauride (Iphigenia In Tauris)","master"
"Debussy*", "Ravel*","1962", "Quartet In G Minor, Quartet In F","master"
"Debussy*", "Loewenguth String Quartet*","1962", "Quartet In G Minor, Quartet In F","master"
"Ravel*", "Loewenguth String Quartet*","1962", "Quartet In G Minor, Quartet In F","master"
"Debussy*", "Rudy Van Gelder","1962", "Quartet In G Minor, Quartet In F","master"
"Ravel*", "Rudy Van Gelder","1962", "Quartet In G Minor, Quartet In F","master"
"Loewenguth String Quartet*", "Rudy Van Gelder","1962", "Quartet In G Minor, Quartet In F","master"
"Gene Ammons", "Sonny Stitt","1962", "Soul Summit","master"
"Gene Ammons", "Jack McDuff*","1962", "Soul Summit","master"
"Sonny Stitt", "Jack McDuff*","1962", "Soul Summit","master"
"Gene Ammons", "Rudy Van Gelder","1962", "Soul Summit","master"
"Sonny Stitt", "Rudy Van Gelder","1962", "Soul Summit","master"
"Jack McDuff*", "Rudy Van Gelder","1962", "Soul Summit","master"
"Bruckner*", "Jascha Horenstein","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Bruckner*", "Pro Musica Symphony","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Bruckner*", "Vienna*","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Jascha Horenstein", "Pro Musica Symphony","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Jascha Horenstein", "Vienna*","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Pro Musica Symphony", "Vienna*","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Bruckner*", "Rudy Van Gelder","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Jascha Horenstein", "Rudy Van Gelder","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Pro Musica Symphony", "Rudy Van Gelder","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Vienna*", "Rudy Van Gelder","1962", "Symphony No. 8 In C Minor (Version Of 1890)","master"
"Monteverdi*", "Petit Ensemble Vocal*","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Monteverdi*", "Little*","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Petit Ensemble Vocal*", "Little*","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Monteverdi*", "Rudy Van Gelder","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Petit Ensemble Vocal*", "Rudy Van Gelder","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Little*", "Rudy Van Gelder","1962", "Lagrime D'Amante Al Sepolcro Dell'Amata - Madrigals","master"
"Oliver Nelson", "Joe Newman","1962", "Main Stem","master"
"Oliver Nelson", "Rudy Van Gelder","1962", "Main Stem","master"
"Joe Newman", "Rudy Van Gelder","1962", "Main Stem","master"
"Hans Schmidt-Isserstedt", "Symphony Orchestra Of The North German Radio Network","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Hans Schmidt-Isserstedt", "Hamburg*","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Symphony Orchestra Of The North German Radio Network", "Hamburg*","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Hans Schmidt-Isserstedt", "Rudy Van Gelder","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Symphony Orchestra Of The North German Radio Network", "Rudy Van Gelder","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Hamburg*", "Rudy Van Gelder","1962", "Brahms Symphony No. 4 In E Minor, Opus 94","master"
"Hummel*", "Boieldieu*","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Hummel*", "Martin Galling","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Hummel*", "Robert Wagner (4)","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Hummel*", "Symphonieorchester Der Stadt Innsbruck*","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Boieldieu*", "Martin Galling","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Boieldieu*", "Robert Wagner (4)","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Boieldieu*", "Symphonieorchester Der Stadt Innsbruck*","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Martin Galling", "Robert Wagner (4)","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Martin Galling", "Symphonieorchester Der Stadt Innsbruck*","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Robert Wagner (4)", "Symphonieorchester Der Stadt Innsbruck*","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Hummel*", "Rudy Van Gelder","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Boieldieu*", "Rudy Van Gelder","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Martin Galling", "Rudy Van Gelder","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Robert Wagner (4)", "Rudy Van Gelder","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Symphonieorchester Der Stadt Innsbruck*", "Rudy Van Gelder","1962", "Piano Concerto In B Minor / Piano Concerto In F","master"
"Beethoven*", "Guiomar Novaes","1962", "Beethoven Piano Sonatas","master"
"Beethoven*", "Rudy Van Gelder","1962", "Beethoven Piano Sonatas","master"
"Guiomar Novaes", "Rudy Van Gelder","1962", "Beethoven Piano Sonatas","master"
"Gene Ammons", "Sonny Stitt","1962", "Boss Tenors In Orbit!","master"
"Gene Ammons", "Rudy Van Gelder","1962", "Boss Tenors In Orbit!","master"
"Sonny Stitt", "Rudy Van Gelder","1962", "Boss Tenors In Orbit!","master"
"Schubert*", "Alfred Brendel","1962", "Moments Musicaux Op. 94 / Three Pieces Op. Posth.","master"
"Schubert*", "Rudy Van Gelder","1962", "Moments Musicaux Op. 94 / Three Pieces Op. Posth.","master"
"Alfred Brendel", "Rudy Van Gelder","1962", "Moments Musicaux Op. 94 / Three Pieces Op. Posth.","master"
"Andrea Gabrieli", "Giovanni Gabrieli","1962", "Sacrae Symphoniae / Ricercari","master"
"Andrea Gabrieli", "Paris Instrumental Ensemble*","1962", "Sacrae Symphoniae / Ricercari","master"
"Andrea Gabrieli", "Florian Hollard","1962", "Sacrae Symphoniae / Ricercari","master"
"Giovanni Gabrieli", "Paris Instrumental Ensemble*","1962", "Sacrae Symphoniae / Ricercari","master"
"Giovanni Gabrieli", "Florian Hollard","1962", "Sacrae Symphoniae / Ricercari","master"
"Paris Instrumental Ensemble*", "Florian Hollard","1962", "Sacrae Symphoniae / Ricercari","master"
"Andrea Gabrieli", "Rudy Van Gelder","1962", "Sacrae Symphoniae / Ricercari","master"
"Giovanni Gabrieli", "Rudy Van Gelder","1962", "Sacrae Symphoniae / Ricercari","master"
"Paris Instrumental Ensemble*", "Rudy Van Gelder","1962", "Sacrae Symphoniae / Ricercari","master"
"Florian Hollard", "Rudy Van Gelder","1962", "Sacrae Symphoniae / Ricercari","master"
"Beethoven*", "Alfred Brendel","1962", "Piano Music (Complete) Vol. II - Eight Sonatas","master"
"Beethoven*", "Rudy Van Gelder","1962", "Piano Music (Complete) Vol. II - Eight Sonatas","master"
"Alfred Brendel", "Rudy Van Gelder","1962", "Piano Music (Complete) Vol. II - Eight Sonatas","master"
"Gene Ammons", "Joe Newman","1962", "Twisting The Jug","master"
"Gene Ammons", "Jack McDuff*","1962", "Twisting The Jug","master"
"Joe Newman", "Jack McDuff*","1962", "Twisting The Jug","master"
"Gene Ammons", "Rudy Van Gelder","1962", "Twisting The Jug","master"
"Joe Newman", "Rudy Van Gelder","1962", "Twisting The Jug","master"
"Jack McDuff*", "Rudy Van Gelder","1962", "Twisting The Jug","master"
"Dufay*", "Le Petit Ensemble Vocal de Montreal*","1963", "Motets","release"
"Dufay*", "George Little","1963", "Motets","release"
"Dufay*", "Consort Of Viols*","1963", "Motets","release"
"Dufay*", "Otto Joachim","1963", "Motets","release"
"Le Petit Ensemble Vocal de Montreal*", "George Little","1963", "Motets","release"
"Le Petit Ensemble Vocal de Montreal*", "Consort Of Viols*","1963", "Motets","release"
"Le Petit Ensemble Vocal de Montreal*", "Otto Joachim","1963", "Motets","release"
"George Little", "Consort Of Viols*","1963", "Motets","release"
"George Little", "Otto Joachim","1963", "Motets","release"
"Consort Of Viols*", "Otto Joachim","1963", "Motets","release"
"Dufay*", "Rudy Van Gelder","1963", "Motets","release"
"Le Petit Ensemble Vocal de Montreal*", "Rudy Van Gelder","1963", "Motets","release"
"George Little", "Rudy Van Gelder","1963", "Motets","release"
"Consort Of Viols*", "Rudy Van Gelder","1963", "Motets","release"
"Otto Joachim", "Rudy Van Gelder","1963", "Motets","release"
"Klemperer*", "Pro Musica Chamber Orchestra*","1963", "Klemperer Conducts Bach Brandenburg Concerti (Complete)","release"
"Klemperer*", "Rudy Van Gelder","1963", "Klemperer Conducts Bach Brandenburg Concerti (Complete)","release"
"Pro Musica Chamber Orchestra*", "Rudy Van Gelder","1963", "Klemperer Conducts Bach Brandenburg Concerti (Complete)","release"
"Bruckner*", "Westfaelisches Sinfonie-Orchester* Conductor Hubert Reichert","1963", "Symphony No. Six In A Major","master"
"Bruckner*", "Rudy Van Gelder","1963", "Symphony No. Six In A Major","master"
"Westfaelisches Sinfonie-Orchester* Conductor Hubert Reichert", "Rudy Van Gelder","1963", "Symphony No. Six In A Major","master"
"Beethoven*", "Loewenguth Quartet*","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Beethoven*", "Mannheimer Trio","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Loewenguth Quartet*", "Mannheimer Trio","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Beethoven*", "Rudy Van Gelder","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Loewenguth Quartet*", "Rudy Van Gelder","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Mannheimer Trio", "Rudy Van Gelder","1963", "Beethoven String Quartets (Complete) Vol 4 & 3 Piano Quartets","master"
"Mozart*", "Orchestre De La Société Des Concerts Du Conservatoire","1963", "Don Giovanni (Complete)","master"
"Mozart*", "Hans Rosbaud","1963", "Don Giovanni (Complete)","master"
"Orchestre De La Société Des Concerts Du Conservatoire", "Hans Rosbaud","1963", "Don Giovanni (Complete)","master"
"Mozart*", "Rudy Van Gelder","1963", "Don Giovanni (Complete)","master"
"Orchestre De La Société Des Concerts Du Conservatoire", "Rudy Van Gelder","1963", "Don Giovanni (Complete)","master"
"Hans Rosbaud", "Rudy Van Gelder","1963", "Don Giovanni (Complete)","master"
"Shirley Scott", "Stanley Turrentine","1963", "I Feel Alright","master"
"Shirley Scott", "Rudy Van Gelder","1963", "I Feel Alright","master"
"Stanley Turrentine", "Rudy Van Gelder","1963", "I Feel Alright","master"
"Grieg*", "Bizet*","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Grieg*", "Jonel Perlea","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Grieg*", "Marcel Couraud","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Grieg*", "Bamberg Symphony*","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Bizet*", "Jonel Perlea","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Bizet*", "Marcel Couraud","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Bizet*", "Bamberg Symphony*","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Jonel Perlea", "Marcel Couraud","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Jonel Perlea", "Bamberg Symphony*","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Marcel Couraud", "Bamberg Symphony*","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Grieg*", "Rudy Van Gelder","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Bizet*", "Rudy Van Gelder","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Jonel Perlea", "Rudy Van Gelder","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Marcel Couraud", "Rudy Van Gelder","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Bamberg Symphony*", "Rudy Van Gelder","1963", "Peer Gynt Suites, Op. 46 And Op. 55 / L'Arlesienne Suites, No. 1 And No. 2","master"
"Kalomiri*", "Ben-Haim*","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Mimaroglu*","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Hossein*","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Fuleihan*","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Rigai*","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Mimaroglu*","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Hossein*","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Fuleihan*","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Rigai*","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Mimaroglu*", "Hossein*","1963", "Piano Music Of The Near East","master"
"Mimaroglu*", "Fuleihan*","1963", "Piano Music Of The Near East","master"
"Mimaroglu*", "Rigai*","1963", "Piano Music Of The Near East","master"
"Mimaroglu*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Hossein*", "Fuleihan*","1963", "Piano Music Of The Near East","master"
"Hossein*", "Rigai*","1963", "Piano Music Of The Near East","master"
"Hossein*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Fuleihan*", "Rigai*","1963", "Piano Music Of The Near East","master"
"Fuleihan*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Rigai*", "Amiram Rigai","1963", "Piano Music Of The Near East","master"
"Kalomiri*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Ben-Haim*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Mimaroglu*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Hossein*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Fuleihan*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Rigai*", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Amiram Rigai", "Rudy Van Gelder","1963", "Piano Music Of The Near East","master"
"Ravel*", "Vlado Perlemuter","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Ravel*", "Concerts Colonne Orchestra*","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Ravel*", "Jascha Horenstein","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Vlado Perlemuter", "Concerts Colonne Orchestra*","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Vlado Perlemuter", "Jascha Horenstein","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Concerts Colonne Orchestra*", "Jascha Horenstein","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Ravel*", "Rudy Van Gelder","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Vlado Perlemuter", "Rudy Van Gelder","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Concerts Colonne Orchestra*", "Rudy Van Gelder","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Jascha Horenstein", "Rudy Van Gelder","1963", "Piano Concerto In G / Piano Concerto For The Left Hand / Pavane Pour Une Infante Defunte / Menuet Antique","master"
"Brooks Berry", "Scrapper Blackwell","1963", "The Blues Of Brooks Berry And Scrapper Blackwell - My Heart Struck Sorrow","master"
"Brooks Berry", "Rudy Van Gelder","1963", "The Blues Of Brooks Berry And Scrapper Blackwell - My Heart Struck Sorrow","master"
"Scrapper Blackwell", "Rudy Van Gelder","1963", "The Blues Of Brooks Berry And Scrapper Blackwell - My Heart Struck Sorrow","master"
"Phil Woods", "Jon Eardley","1963", "Pot Pie","master"
"Phil Woods", "Rudy Van Gelder","1963", "Pot Pie","master"
"Jon Eardley", "Rudy Van Gelder","1963", "Pot Pie","master"
"Mozart*", "Reinhold Barchet","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Mozart*", "Rolf Reinhardt","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Mozart*", "Pro Musica Orchestra","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Mozart*", "Stuttgart*","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Reinhold Barchet", "Rolf Reinhardt","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Reinhold Barchet", "Pro Musica Orchestra","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Reinhold Barchet", "Stuttgart*","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Rolf Reinhardt", "Pro Musica Orchestra","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Rolf Reinhardt", "Stuttgart*","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Pro Musica Orchestra", "Stuttgart*","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Mozart*", "Rudy Van Gelder","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Reinhold Barchet", "Rudy Van Gelder","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Rolf Reinhardt", "Rudy Van Gelder","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Pro Musica Orchestra", "Rudy Van Gelder","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Stuttgart*", "Rudy Van Gelder","1963", "Violin Concerti (No. 4 In D-Major, K. 218 / No. 6 In E Flat Major, K. 268)","master"
"Dave Van Ronk", "The Red Onion Jazz Band","1963", "In The Tradition","master"
"Dave Van Ronk", "Rudy Van Gelder","1963", "In The Tradition","master"
"The Red Onion Jazz Band", "Rudy Van Gelder","1963", "In The Tradition","master"
"Mendelssohn*", "Liederkranz Böblingen","1963", "Elijah","master"
"Mendelssohn*", "Stuttgarter Philharmoniker","1963", "Elijah","master"
"Mendelssohn*", "Roland Bader","1963", "Elijah","master"
"Liederkranz Böblingen", "Stuttgarter Philharmoniker","1963", "Elijah","master"
"Liederkranz Böblingen", "Roland Bader","1963", "Elijah","master"
"Stuttgarter Philharmoniker", "Roland Bader","1963", "Elijah","master"
"Mendelssohn*", "Rudy Van Gelder","1963", "Elijah","master"
"Liederkranz Böblingen", "Rudy Van Gelder","1963", "Elijah","master"
"Stuttgarter Philharmoniker", "Rudy Van Gelder","1963", "Elijah","master"
"Roland Bader", "Rudy Van Gelder","1963", "Elijah","master"
"Roy Haynes", "Booker Ervin","1963", "Cracklin'","master"
"Roy Haynes", "Rudy Van Gelder","1963", "Cracklin'","master"
"Booker Ervin", "Rudy Van Gelder","1963", "Cracklin'","master"
"Hank Jones", "Kenny Burrell","1963", "Here's Love","master"
"Hank Jones", "Milt Hinton","1963", "Here's Love","master"
"Hank Jones", "Elvin Jones","1963", "Here's Love","master"
"Kenny Burrell", "Milt Hinton","1963", "Here's Love","master"
"Kenny Burrell", "Elvin Jones","1963", "Here's Love","master"
"Milt Hinton", "Elvin Jones","1963", "Here's Love","master"
"Hank Jones", "Rudy Van Gelder","1963", "Here's Love","master"
"Kenny Burrell", "Rudy Van Gelder","1963", "Here's Love","master"
"Milt Hinton", "Rudy Van Gelder","1963", "Here's Love","master"
"Elvin Jones", "Rudy Van Gelder","1963", "Here's Love","master"
"Eddie "Lockjaw" Davis", "Johnny Griffin","1963", "Battle Stations","master"
"Eddie "Lockjaw" Davis", "Rudy Van Gelder","1963", "Battle Stations","master"
"Johnny Griffin", "Rudy Van Gelder","1963", "Battle Stations","master"
"Pony Poindexter", "Booker Ervin","1963", "Gumbo!","master"
"Pony Poindexter", "Rudy Van Gelder","1963", "Gumbo!","master"
"Booker Ervin", "Rudy Van Gelder","1963", "Gumbo!","master"
"Antonín Dvořák", "The Kohon String Quartet Of New York University*","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Harold Kohon","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Raymond Kunicki","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Bernard Zaslav","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Robert Sylvester","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Harold Kohon","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Raymond Kunicki","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Bernard Zaslav","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Robert Sylvester","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Harold Kohon", "Raymond Kunicki","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Harold Kohon", "Bernard Zaslav","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Harold Kohon", "Robert Sylvester","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Harold Kohon", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Raymond Kunicki", "Bernard Zaslav","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Raymond Kunicki", "Robert Sylvester","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Raymond Kunicki", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Bernard Zaslav", "Robert Sylvester","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Bernard Zaslav", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Robert Sylvester", "Aaron Shapinsky","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Antonín Dvořák", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"The Kohon String Quartet Of New York University*", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Harold Kohon", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Raymond Kunicki", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Bernard Zaslav", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Robert Sylvester", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Aaron Shapinsky", "Rudy Van Gelder","1963", "Dvorak: String Quartets Op. 16 In A Minor / Op. 96 In F Major ("American")","master"
"Billy Taylor Trio", "Quincy Jones","1963", "My Fair Lady Loves Jazz","master"
"Billy Taylor Trio", "Rudy Van Gelder","1963", "My Fair Lady Loves Jazz","master"
"Quincy Jones", "Rudy Van Gelder","1963", "My Fair Lady Loves Jazz","master"
"Sonny Stitt", "Jack McDuff*","1963", "Soul Shack","master"
"Sonny Stitt", "Rudy Van Gelder","1963", "Soul Shack","master"
